盘左 ------> 16条数据 ------> 测回数为2 ------> 闭附和导线需要填C点的方位角XY坐标；支导线不用填
----------------------------------------------------------------------------------------------------------------|
|测站名 | 照准点 | 盘左读数  | 盘右读数  | 2C | 角值      | 方位角    | 平距 | 平均距离 | X         | Y         |
|-------|--------|-----------|-----------|----|-----------|-----------|------|----------|-----------|-----------|
|      B|       A|      0 0 5|   180 0 10|   1|           |      0 0 0|   100|          |     100000|     100000|
|       |       1|     70 0 3|    250 0 9|    |           |           |      |          |           |           |
|       |       A|    180 0 2|      0 0 1|    |           |           |   110|          |           |           |
|       |       1|    250 0 1|   69 59 59|    |           |           |      |          |           |           |
|-------|--------|-----------|-----------|----|-----------|-----------|------|----------|-----------|-----------|
|      1|       A|      0 0 2|    180 0 1|   1|           |           |   120|          |           |           |
|       |       2|   112 0 10|   292 0 10|    |           |           |      |          |           |           |
|       |       A|  179 59 59|      0 0 3|   1|           |           |   130|          |           |           |
|       |       2|    292 0 5|   112 0 10|    |           |           |      |          |           |           |
|-------|--------|-----------|-----------|----|-----------|-----------|------|----------|-----------|-----------|
|      2|       1|      0 0 0|    180 0 2|   1|           |           |   140|          |           |           |
|       |       C|    200 0 1|     20 0 4|    |           |           |      |          |           |           |
|       |       1|    180 0 5|      0 0 5|   0|           |           |   150|          |           |           |
|       |       C|     20 0 5|    200 0 5|    |           |           |      |          |           |           |
|-------|--------|-----------|-----------|----|-----------|-----------|------|----------|-----------|-----------|
|      C|       2|     0 0 10|   180 0 20|   3|           |  172 00 21|   160|          |  99829.645|  99847.016|
|       |       D|   150 0 22|   330 0 35|    |           |           |      |          |           |           |
|       |       2|  179 59 48|      0 0 5|   2|           |           |   170|          |           |           |
|       |       D|    330 0 1|   150 0 20|    |           |           |      |          |           |           |
|---------------------------------------------------------------------------------------------------------------|


 盘右 ------> 16条数据 ------> 测回数为2 ------> 闭附和导线需要填C点的方位角和XY坐标；支导线不用填         
----------------------------------------------------------------------------------------------------------------|
|测站名 | 照准点 | 盘左读数  | 盘右读数  | 2C | 角值      | 方位角    | 平距 | 平均距离 | X         | Y         |
|-------|--------|-----------|-----------|----|-----------|-----------|------|----------|-----------|-----------|
|      B|       A|      0 0 5|   180 0 10|    |           |      0 0 0|   100|          |     100000|     100000|
|       |       1|     70 0 3|    250 0 9|    |           |           |      |          |           |           |
|       |       A|    180 0 2|      0 0 1|    |           |           |   110|          |           |           |
|       |       1|    250 0 1|   69 59 59|    |           |           |      |          |           |           |
|-------|--------|-----------|-----------|----|-----------|-----------|------|----------|-----------|-----------|
|      1|       B|      0 0 2|    180 0 1|    |           |           |   120|          |           |           |
|       |       2|   112 0 10|   292 0 10|    |           |           |      |          |           |           |
|       |       B|  179 59 59|      0 0 3|    |           |           |   130|          |           |           |
|       |       2|    292 0 5|   112 0 10|    |           |           |      |          |           |           |
|-------|--------|-----------|-----------|----|-----------|-----------|------|----------|-----------|-----------|
|      2|       1|      0 0 0|    180 0 2|    |           |           |   140|          |           |           |
|       |       C|    200 0 1|     20 0 4|    |           |           |      |          |           |           |
|       |       1|    180 0 5|      0 0 5|    |           |           |   150|          |           |           |
|       |       C|     20 0 5|    200 0 5|    |           |           |      |          |           |           |
|-------|--------|-----------|-----------|----|-----------|-----------|------|----------|-----------|-----------|
|      C|       2|     0 0 10|   180 0 20|    |           |  187 59 35|   160|          | 100022.125|  100249.07|
|       |       D|   150 0 22|   330 0 35|    |           |           |      |          |           |           |
|       |       2|  179 59 48|      0 0 5|    |           |           |   170|          |           |           |
|       |       D|    330 0 1|   150 0 20|    |           |           |      |          |           |           |
|---------------------------------------------------------------------------------------------------------------|
